,state,time,avg,var
285,abuja,2018-10-01,2827.2906298301095,44253.56524150985
286,abuja,2018-11-01,2687.631087293178,39775.0864387294
287,abuja,2018-12-01,2716.591839720621,26840.89733611923
288,abuja,2019-01-01,2969.7250114516814,44721.971512520926
289,abuja,2019-02-01,3253.453892422909,52635.60425512952
290,abuja,2019-03-01,3466.333800549352,55998.549113124835
291,abuja,2019-04-01,3448.9203798584604,53167.48894393947
292,abuja,2019-05-01,3375.1336636894644,52686.03745193356
293,abuja,2019-06-01,3350.6962731217855,53172.60931252265
294,abuja,2019-07-01,3390.3435126475347,53217.74746127759
295,abuja,2019-08-01,3166.1059025533896,48325.79259828031
296,abuja,2019-09-01,2952.670602788272,45945.03373006689
297,abuja,2019-10-01,2768.289148775305,41937.45353336111
298,abuja,2019-11-01,2628.382948891141,37772.36854149886
299,abuja,2019-12-01,2638.228859779441,24973.68779414587
300,abuja,2020-01-01,2964.498543382589,44569.91342497748
301,abuja,2020-02-01,3247.7280852126646,52456.21447242244
302,abuja,2020-03-01,3460.233342474774,55807.70673312408
303,abuja,2020-04-01,3442.8505679504005,52986.57206214067
304,abuja,2020-05-01,3369.1937102411925,52506.68407805784
305,abuja,2020-06-01,3344.799327440563,52991.501861995086
306,abuja,2020-07-01,3384.3767911350114,53036.55092474174
307,abuja,2020-08-01,3160.5338205123753,48161.40582970666
308,abuja,2020-09-01,2947.4741490545043,45788.644494475244
309,abuja,2020-10-01,2763.4171910060513,41794.833973667635
310,abuja,2020-11-01,2623.757214352504,37644.15069530862
311,abuja,2020-12-01,2633.5857972597046,24890.49682302115
312,adamawa,2008-01-01,8815.76726598589,194920.05191537968
313,adamawa,2008-02-01,11033.130963309033,272860.7741422481
314,adamawa,2008-03-01,12921.128183389916,339979.47231217445
315,adamawa,2008-04-01,12820.999830672157,328793.00349339715
316,adamawa,2008-05-01,12324.993635840512,312261.7757156725
317,adamawa,2008-06-01,12036.235198569988,296145.9052154348
318,adamawa,2008-07-01,11202.383988013029,266328.350370507
319,adamawa,2008-08-01,11106.962263830006,263379.6026086497
320,adamawa,2008-09-01,10115.901370995734,236176.17369608086
321,adamawa,2008-10-01,8303.221577497145,177839.92445750185
322,adamawa,2008-11-01,6866.710613180641,134377.71854588835
323,adamawa,2008-12-01,7009.550245722308,82026.766304302
324,adamawa,2009-01-01,9269.893334609997,237022.06274080486
325,adamawa,2009-02-01,11131.63420721141,300938.1771954828
326,adamawa,2009-03-01,12350.22079622276,343088.21828541835
327,adamawa,2009-04-01,12384.50809391872,337335.41576744715
328,adamawa,2009-05-01,12092.846930638088,326495.2258304656
329,adamawa,2009-06-01,11835.020716821715,316681.1121053319
330,adamawa,2009-07-01,11000.534514656496,283254.4416806478
331,adamawa,2009-08-01,10943.879417901504,283578.9455456926
332,adamawa,2009-09-01,10115.223125093322,257661.17632296216
333,adamawa,2009-10-01,8263.244599280524,196541.74703137053
334,adamawa,2009-11-01,7132.140193032381,155416.90268383228
335,adamawa,2009-12-01,7156.449111885926,79784.01287123744
336,adamawa,2010-01-01,9557.79036182291,251609.43433959756
337,adamawa,2010-02-01,11084.323919569664,306436.0337923201
338,adamawa,2010-03-01,11931.371948949221,335818.68738007604
339,adamawa,2010-04-01,12166.914014269152,344399.5772468989
340,adamawa,2010-05-01,12109.668622985942,335631.2284006895
341,adamawa,2010-06-01,12083.037443999858,337415.95075878815
342,adamawa,2010-07-01,11342.41465783634,314772.1854236524
343,adamawa,2010-08-01,11175.964109020779,310531.7590174772
344,adamawa,2010-09-01,10232.352349139586,273001.2868136151
345,adamawa,2010-10-01,8551.916143797585,215280.85355295087
346,adamawa,2010-11-01,7564.00278964831,177457.983801341
